DATE, kCAL, ExerciseMin, StandHours
2019-06-25, 534.797, 20, 16
2019-06-26, 346.55, 6, 11
2019-06-27, 336.486, 6, 8
2019-06-28, 405.528, 16, 13
2019-06-29, 229.179, 10, 8
2019-06-30, 181.79, 1, 5
2019-07-01, 400.514, 9, 12
2019-07-02, 394.9, 3, 12
2019-07-03, 400.587, 3, 16
2019-07-04, 337.063, 2, 11
2019-07-05, 413.371, 9, 13
2019-07-06, 244.62, 2, 8
2019-07-07, 213.734, 0, 9
2019-07-08, 254.768, 5, 7
2019-07-09, 328.635, 12, 12
2019-07-10, 329.003, 6, 11
2019-07-11, 313.631, 5, 12
2019-07-12, 374.147, 18, 14
2019-07-13, 191.743, 2, 9
2019-07-14, 229.033, 4, 7
2019-07-15, 453.072, 1, 15
2019-07-16, 430.994, 6, 14
2019-07-17, 465.649, 9, 12
2019-07-18, 294.302, 5, 13
2019-07-19, 363.293, 10, 11
2019-07-20, 330.608, 6, 9
2019-07-21, 284.943, 5, 9
2019-07-22, 490.059, 8, 14
2019-07-23, 445.143, 6, 13
2019-07-24, 701.835, 8, 15
2019-07-25, 775.288, 12, 18
2019-07-26, 740.009, 13, 19
2019-07-27, 582.877, 3, 16
2019-07-28, 150.69, 3, 6
2019-07-29, 381.153, 8, 13
2019-07-30, 469.747, 7, 13
2019-07-31, 384.914, 7, 14
2019-08-01, 451.989, 25, 11
2019-08-02, 375.237, 12, 13
2019-08-03, 373.281, 0, 10
2019-08-04, 142.966, 1, 3
2019-08-05, 324.911, 6, 12
2019-08-06, 366.257, 10, 12
2019-08-07, 387.922, 14, 13
2019-08-08, 504.528, 14, 14
2019-08-09, 445.57, 20, 15
2019-08-10, 260.745, 3, 8
2019-08-11, 159.594, 1, 7
2019-08-12, 303.901, 3, 11
2019-08-13, 343.19, 1, 11
2019-08-14, 374.379, 8, 13
2019-08-15, 331.636, 8, 12
2019-08-16, 395.71, 10, 13
2019-08-17, 194.134, 1, 9
2019-08-18, 129.25, 0, 7
2019-08-19, 234.331, 3, 10
2019-08-20, 402.288, 12, 12
2019-08-21, 299.106, 4, 9
2019-08-22, 314.603, 5, 10
2019-08-23, 347.262, 2, 15
2019-08-24, 223.534, 6, 9
2019-08-25, 283.198, 4, 10
2019-08-26, 290.74, 6, 11
2019-08-27, 354.381, 8, 10
2019-08-28, 359.939, 9, 10
2019-08-29, 291.706, 4, 10
2019-08-30, 384.672, 2, 15
2019-08-31, 335.446, 2, 10
2019-09-01, 267.122, 2, 9
2019-09-02, 399.506, 2, 13
2019-09-03, 300.128, 2, 9
2019-09-04, 355.672, 10, 12
2019-09-05, 325.14, 7, 11
2019-09-06, 419.018, 9, 14
2019-09-07, 331.491, 3, 12
2019-09-08, 327.74, 6, 12
2019-09-09, 413.225, 8, 12
2019-09-10, 372.355, 13, 14
2019-09-11, 363.358, 6, 8
2019-09-12, 362.4, 5, 13
2019-09-13, 429.925, 13, 13
2019-09-14, 312.789, 2, 10
2019-09-15, 217.941, 3, 6
2019-09-16, 481.004, 12, 12
2019-09-17, 316.994, 3, 10
2019-09-18, 395.807, 10, 13
2019-09-19, 353.512, 4, 11
2019-09-20, 561.147, 43, 13
2019-09-21, 450.779, 43, 11
2019-09-22, 275.084, 14, 12
2019-09-23, 501.982, 38, 11
2019-09-24, 678.281, 54, 12
2019-09-25, 391.247, 12, 12
2019-09-26, 405.841, 12, 12
2019-09-27, 393.165, 8, 12
2019-09-28, 328.669, 14, 9
2019-09-29, 420.148, 9, 12
2019-09-30, 405.857, 7, 11
2019-10-01, 238.07, 3, 9
2019-10-02, 412.624, 13, 13
2019-10-03, 446.562, 17, 14
2019-10-04, 164.647, 0, 6
2019-10-05, 177.946, 5, 5
2019-10-06, 286.421, 6, 10
2019-10-07, 402.024, 19, 11
2019-10-08, 336.028, 4, 10
2019-10-09, 298.405, 3, 11
2019-10-10, 352.612, 12, 12
2019-10-11, 327.919, 5, 12
2019-10-12, 148.86, 0, 5
2019-10-13, 340.574, 10, 10
2019-10-14, 225.53, 4, 11
2019-10-15, 310.916, 5, 12
2019-10-16, 308.395, 6, 9
2019-10-17, 220.656, 2, 6
2019-10-18, 307.559, 3, 11
2019-10-19, 315.896, 10, 14
2019-10-20, 422.559, 12, 13
2019-10-21, 465.601, 20, 13
2019-10-22, 322.514, 13, 10
2019-10-23, 367.313, 13, 13
2019-10-24, 371.437, 9, 12
2019-10-25, 417.74, 11, 15
2019-10-26, 281.221, 1, 11
2019-10-27, 191.232, 1, 10
2019-10-28, 385.955, 10, 15
2019-10-29, 6.349, 0, 0
